Id	CAS	SMILES	Status	Experimental value 	Predicted value 
64	54749-90-5	O=NN(C(=O)NC1C(O)OC(CO)C(O)C1(O))CCCl	Training	Carcinogen	Carcinogen
65	218-01-9	c1ccc2c(c1)ccc3c4ccccc4(ccc23)	Training	Carcinogen	Carcinogen
66	87-29-6	O=C(OCC=Cc1ccccc1)c2ccccc2(N)	Training	Carcinogen	NON-Carcinogen
67	120-71-8	O(c1ccc(cc1(N))C)C	Training	Carcinogen	NON-Carcinogen
68	135-20-6	O=NN(O)c1ccccc1	Training	Carcinogen	Carcinogen
69	50-18-0	O=P1(OCCCN1)N(CCCl)CCCl	Training	Carcinogen	NON-Carcinogen
70	72-54-8	c1cc(ccc1C(c2ccc(cc2)Cl)C(Cl)Cl)Cl	Training	Carcinogen	Carcinogen
71	72-55-9	c1cc(ccc1C(c2ccc(cc2)Cl)=C(Cl)Cl)Cl	Training	Carcinogen	Carcinogen
72	50-29-3	c1cc(ccc1C(c2ccc(cc2)Cl)C(Cl)(Cl)Cl)Cl	Training	Carcinogen	Carcinogen
73	4342-03-4	O=C(N)C1=NC=NC1(=NNN(C)C)	Test	Carcinogen	Carcinogen
74	1596-84-5	O=C(O)CCC(=O)NN(C)C	Training	Carcinogen	Carcinogen
75	117-10-2	O=C1c3cccc(O)c3(C(=O)c2c(O)cccc12)	Training	Carcinogen	Carcinogen
76	615-05-4	O(c1ccc(N)cc1(N))C	Training	Carcinogen	NON-Carcinogen
77	101-80-4	O(c1ccc(N)cc1)c2ccc(N)cc2	Test	Carcinogen	Carcinogen
78	226-36-8	n3c5ccc1ccccc1c5(cc4ccc2ccccc2c34)	Training	Carcinogen	Carcinogen
79	224-42-0	n2c5ccc1ccccc1c5(cc4c2ccc3ccccc34)	Training	Carcinogen	Carcinogen
80	53-70-3	c1ccc5c(c1)ccc4cc3c(ccc2ccccc23)cc45	Training	Carcinogen	Carcinogen
81	192-65-4	c1ccc3c(c1)cc4c2ccccc2c6cccc5ccc3c4c56	Training	Carcinogen	Carcinogen
82	189-64-0	c1ccc2c(c1)cc3ccc5c6ccccc6(cc4ccc2c3c45)	Training	Carcinogen	Carcinogen
83	189-55-9	c1ccc3c(c1)cc4ccc5cc2ccccc2c6ccc3c4c56	Training	Carcinogen	Carcinogen
84	191-30-0	c1ccc3c(c1)cc4ccc5cccc6c2ccccc2c3c4c56	Training	Carcinogen	Carcinogen
85	194-59-2	c1ccc5c(c1)ccc4[nH]c3ccc2ccccc2c3c45	Training	Carcinogen	Carcinogen
86	96-12-8	C(C(CBr)Br)Cl	Test	Carcinogen	NON-Carcinogen
87	106-93-4	C(CBr)Br	Training	Carcinogen	NON-Carcinogen
88	764-41-0	C(=CCCl)CCl	Training	Carcinogen	NON-Carcinogen
89	106-46-7	c1cc(ccc1Cl)Cl	Test	Carcinogen	NON-Carcinogen
90	91-94-1	Nc1ccc(cc1Cl)c2ccc(N)c(c2)Cl	Training	Carcinogen	Carcinogen
91	75-34-3	CC(Cl)Cl	Training	Carcinogen	Carcinogen
92	107-06-2	C(CCl)Cl	Training	Carcinogen	Carcinogen
93	78-87-5	CC(CCl)Cl	Training	Carcinogen	Carcinogen
94	542-75-6	C(=CCl)CCl	Training	Carcinogen	Carcinogen
95	62-73-7	O=P(OC=C(Cl)Cl)(OC)OC	Training	Carcinogen	NON-Carcinogen
96	60-57-1	O1C2C1C3CC2C4C3C5(C(=C(C4(C5(Cl)Cl)Cl)Cl)Cl)Cl	Training	Carcinogen	Carcinogen
97	56-53-1	Oc1ccc(cc1)C(=C(c2ccc(O)cc2)CC)CC	Training	Carcinogen	Carcinogen
98	101-90-6	O(c2cccc(OCC1OC1)c2)CC3OC3	Training	Carcinogen	Carcinogen
99	94-58-6	O1c2ccc(cc2(OC1))CCC	Training	Carcinogen	Carcinogen
100	60-11-7	N(=Nc1ccc(cc1)N(C)C)c2ccccc2	Training	Carcinogen	Carcinogen
101	57-97-6	c1ccc2c(c1)ccc4c2c(c3ccccc3c4C)C	Training	Carcinogen	Carcinogen
102	79-44-7	O=C(N(C)C)Cl	Training	Carcinogen	NON-Carcinogen
103	57-14-7	NN(C)C	Training	Carcinogen	Carcinogen
104	540-73-8	N(NC)C	Training	Carcinogen	Carcinogen
105	513-37-1	C(=C(C)C)Cl	Training	Carcinogen	NON-Carcinogen
106	42397-64-8	O=[N+](O)c3ccc1ccc4c2c(ccc3(c12))ccc4[N+](=O)O	Training	Carcinogen	Carcinogen
107	42397-65-9	O=[N+](O)c4ccc1ccc2ccc(c3ccc4(c1c23))[N+](=O)O	Test	Carcinogen	Carcinogen
108	121-14-2	O=[N+](O)c1ccc(c(c1)[N+](=O)O)C	Test	Carcinogen	NON-Carcinogen
109	123-91-1	O1CCOCC1	Training	Carcinogen	NON-Carcinogen
110	122-66-7	c1ccc(cc1)NNc2ccccc2	Training	Carcinogen	Carcinogen
111	1937-37-7	O=C5C(=NNc1ccccc1)C(=Cc6cc(c(N=Nc2ccc(cc2)c4ccc(N=Nc3ccc(N)cc3(N))cc4)c(N)c56)S(=O)(=O)O)S(=O)(=O)O	Training	Carcinogen	Carcinogen
112	2602-46-2	O=C5C(=NNc1ccc(cc1)c2ccc(cc2)NN=C3C(=O)c4c(N)cc(cc4(C=C3S(=O)(=O)O))S(=O)(=O)O)C(=Cc6cc(cc(N)c56)S(=O)(=O)O)S(=O)(=O)O	Test	Carcinogen	Carcinogen
113	16071-86-6	O=C(O)c5cc(N=Nc1ccc(cc1)c2ccc(cc2)NN=C4C(=O)C=CC(=NNc3cc(ccc3(O))S(=O)(=O)O)C4(=O))ccc5(O)	Test	Carcinogen	Carcinogen
114	2475-45-8	O=C1c3c(N)ccc(N)c3(C(=O)c2c(N)ccc(N)c12)	Training	Carcinogen	Carcinogen
115	106-89-8	O1CC1CCl	Training	Carcinogen	NON-Carcinogen
116	50-28-2	Oc1ccc2c(c1)CCC3C2CCC4(C)(C(O)CCC34)	Training	Carcinogen	Carcinogen
117	100-41-4	c1ccc(cc1)CC	Training	Carcinogen	NON-Carcinogen
118	75-21-8	O1CC1	Test	Carcinogen	NON-Carcinogen
119	96-45-7	N1C(NCC1)=S	Training	Carcinogen	Carcinogen
120	151-56-4	N1CC1	Training	Carcinogen	NON-Carcinogen
121	50-00-0	O=C	Training	Carcinogen	NON-Carcinogen
122	531-82-8	O=C(Nc1nc(cs1)c2oc(cc2)[N+](=O)O)C	Training	Carcinogen	Carcinogen
123	60568-05-0	O=C(c1cc(oc1C)C)N(OC)C2CCCCC2	Training	Carcinogen	Carcinogen
124	67730-11-4	n1c(N)ccc2nc3c(cccn3(c12))C	Test	Carcinogen	Carcinogen
125	67730-10-3	n2c(N)ccc3nc1ccccn1c23	Training	Carcinogen	Carcinogen
126	16568-02-8	O=CN(N=CC)C	Test	Carcinogen	Carcinogen
127	2784-94-3	O=[N+](O)c1cc(ccc1(NC))N(CCO)CCO	Test	Carcinogen	Carcinogen
128	35822-46-9	O1c3cc(c(c(c3(Oc2c1c(c(c(c2Cl)Cl)Cl)Cl))Cl)Cl)Cl	Training	Carcinogen	Carcinogen
129	76-44-8	C1=CC(C2C1C3(C(=C(C2(C3(Cl)Cl)Cl)Cl)Cl)Cl)Cl	Test	Carcinogen	Carcinogen
130	1024-57-3	O1C2C1C(C3C2C4(C(=C(C3(C4(Cl)Cl)Cl)Cl)Cl)Cl)Cl	Training	Carcinogen	Carcinogen
131	35065-30-6	c1cc(c(c(c1c2cc(c(c(c2Cl)Cl)Cl)Cl)Cl)Cl)Cl	Training	Carcinogen	Carcinogen
132	35065-29-3	c2c(c1cc(c(c(c1Cl)Cl)Cl)Cl)c(cc(c2Cl)Cl)Cl	Training	Carcinogen	Carcinogen
133	39635-31-9	c1c(cc(c(c1Cl)Cl)Cl)c2cc(c(c(c2Cl)Cl)Cl)Cl	Training	Carcinogen	Carcinogen
134	67562-39-4	o2c1c(cc(c(c1Cl)Cl)Cl)c3c2c(c(c(c3Cl)Cl)Cl)Cl	Test	Carcinogen	Carcinogen
135	118-74-1	c1(c(c(c(c(c1Cl)Cl)Cl)Cl)Cl)Cl	Test	Carcinogen	NON-Carcinogen
136	52663-72-6	c1c(cc(c(c1Cl)Cl)Cl)c2cc(c(cc2Cl)Cl)Cl	Training	Carcinogen	Carcinogen
137	69782-90-7	c1cc(c(c(c1c2cc(c(c(c2)Cl)Cl)Cl)Cl)Cl)Cl	Training	Carcinogen	Carcinogen
138	38380-08-4	c1cc(c(cc1c2cc(c(c(c2Cl)Cl)Cl)Cl)Cl)Cl	Test	Carcinogen	Carcinogen
139	32774-16-6	c1c(cc(c(c1Cl)Cl)Cl)c2cc(c(c(c2)Cl)Cl)Cl	Training	Carcinogen	Carcinogen
140	87-68-3	C(C(=C(Cl)Cl)Cl)(=C(Cl)Cl)Cl	Test	Carcinogen	NON-Carcinogen
141	319-84-6	C1(C(C(C(C(C1Cl)Cl)Cl)Cl)Cl)Cl	Training	Carcinogen	NON-Carcinogen
142	39227-28-6	O1c3cc(c(cc3(Oc2c1c(c(c(c2Cl)Cl)Cl)Cl))Cl)Cl	Test	Carcinogen	Carcinogen
143	70648-26-9	o2c1cc(c(cc1c3c2c(c(c(c3Cl)Cl)Cl)Cl)Cl)Cl	Training	Carcinogen	Carcinogen
144	67-72-1	C(C(Cl)(Cl)Cl)(Cl)(Cl)Cl	Training	Carcinogen	Carcinogen
145	55673-89-7	o2c1cc(c(c(c1c3c2c(c(c(c3Cl)Cl)Cl)Cl)Cl)Cl)Cl	Training	Carcinogen	Carcinogen
146	57653-85-7	O1c3cc(c(c(c3(Oc2cc(c(c(c12)Cl)Cl)Cl))Cl)Cl)Cl	Training	Carcinogen	Carcinogen
147	19408-74-3	O1c3cc(c(c(c3(Oc2c1cc(c(c2Cl)Cl)Cl))Cl)Cl)Cl	Training	Carcinogen	Carcinogen
148	57117-44-9	o2c1cc(c(c(c1c3cc(c(c(c23)Cl)Cl)Cl)Cl)Cl)Cl	Training	Carcinogen	Carcinogen
149	72918-21-9	o2c1cc(c(c(c1c3c2cc(c(c3Cl)Cl)Cl)Cl)Cl)Cl	Training	Carcinogen	Carcinogen
150	60851-34-5	o2c1c(cc(c(c1Cl)Cl)Cl)c3cc(c(c(c23)Cl)Cl)Cl	Test	Carcinogen	Carcinogen
151	55684-94-1	o2c1ccc(c(c1c3c2c(c(c(c3Cl)Cl)Cl)Cl)Cl)Cl	Training	Carcinogen	Carcinogen
152	76180-96-6	n1cccc3c1ccc2c3(nc(N)n2C)	Training	Carcinogen	Carcinogen
153	555-84-0	O=C2NCCN2(N=Cc1oc(cc1)[N+](=O)O)	Training	Carcinogen	Carcinogen
154	193-39-5	c1ccc2c(c1)c3ccc4ccc5cccc6cc2c3c4c56	Test	Carcinogen	Carcinogen
155	303-34-4	O=C(OC2CCN1CC=C(COC(=O)C(O)(C(OC)C)C(O)(C)C)C12)C(=CC)C	Training	Carcinogen	Carcinogen
156	68006-83-7	n1c(N)c(cc3c1[nH]c2ccccc23)C	Training	Carcinogen	Carcinogen
157	3223-07-2	O=C(O)C(N)Cc1ccc(cc1)N(CCCl)CCCl	Training	Carcinogen	Carcinogen
158	99-59-2	O=[N+](O)c1ccc(OC)c(N)c1	Training	Carcinogen	NON-Carcinogen
159	60-34-4	NNC	Training	Carcinogen	Carcinogen
160	66-27-3	O=S(=O)(OC)C	Test	Carcinogen	NON-Carcinogen
161	1634-04-4	O(C)C(C)(C)C	Training	Carcinogen	NON-Carcinogen
162	129-15-7	O=C2c3ccccc3(C(=O)c1c2(ccc(c1[N+](=O)O)C))	Training	Carcinogen	Carcinogen
163	70-25-7	O=NN(C(=N[N+](=O)O)N)C	Training	Carcinogen	Carcinogen
164	82-28-0	O=C1c3ccccc3(C(=O)c2c(N)c(ccc12)C)	Test	Carcinogen	Carcinogen
165	56-49-5	c1ccc5c(c1)ccc3c5(cc2ccc(c4c2c3CC4)C)	Training	Carcinogen	Carcinogen
166	3697-24-3	c1ccc2c(c1)ccc3c4ccccc4(cc(c23)C)	Training	Carcinogen	Carcinogen
167	75-09-2	C(Cl)Cl	Training	Carcinogen	Carcinogen
168	838-88-0	Nc1ccc(cc1C)Cc2ccc(N)c(c2)C	Test	Carcinogen	Carcinogen
169	101-14-4	Nc1ccc(cc1Cl)Cc2ccc(N)c(c2)Cl	Test	Carcinogen	Carcinogen
170	101-61-1	c1cc(ccc1N(C)C)Cc2ccc(cc2)N(C)C	Training	Carcinogen	Carcinogen
171	101-77-9	Nc1ccc(cc1)Cc2ccc(N)cc2	Training	Carcinogen	Carcinogen
172	56-04-2	O=C1C=C(NC(N1)=S)C	Training	Carcinogen	NON-Carcinogen
173	90-94-8	O=C(c1ccc(cc1)N(C)C)c2ccc(cc2)N(C)C	Test	Carcinogen	Carcinogen
174	2385-85-5	C13(C4(C2(C5(C(C1(C2(Cl)Cl)Cl)(C3(C(C45Cl)(Cl)Cl)Cl)Cl)Cl)Cl)Cl)Cl	Training	Carcinogen	Carcinogen
175	50-07-7	O=C(OCC4C=1C(=O)C(N)=C(C(=O)C=1N3CC2NC2C34(OC))C)N	Test	Carcinogen	NON-Carcinogen
176	315-22-0	O=C1OC3CCN2CC=C(COC(=O)C(O)(C)C(O)(C)C1C)C23	Training	Carcinogen	Carcinogen
177	91-20-3	c1ccc2ccccc2(c1)	Training	Carcinogen	NON-Carcinogen
178	139-13-9	O=C(O)CN(CC(=O)O)CC(=O)O	Training	Carcinogen	Carcinogen
179	602-87-9	O=[N+](O)c3ccc2c1c3(cccc1CC2)	Test	Carcinogen	Carcinogen
180	98-95-3	O=[N+](O)c1ccccc1	Test	Carcinogen	NON-Carcinogen
181	7496-02-8	O=[N+](O)c2cc3c4ccccc4(ccc3(c1ccccc12))	Training	Carcinogen	Carcinogen
182	1836-75-5	O=[N+](O)c2ccc(Oc1ccc(cc1Cl)Cl)cc2	Training	Carcinogen	Carcinogen
183	607-57-8	O=[N+](O)c2ccc3c1ccccc1Cc3(c2)	Training	Carcinogen	Carcinogen
184	59-87-0	O=C(N)NN=Cc1oc(cc1)[N+](=O)O	Training	Carcinogen	Carcinogen
185	75-52-5	O=[N+](O)C	Training	Carcinogen	NON-Carcinogen
186	79-46-9	O=[N+](O)C(C)C	Training	Carcinogen	NON-Carcinogen
187	5522-43-0	O=[N+](O)c4ccc1ccc2cccc3ccc4(c1c23)	Training	Carcinogen	Carcinogen
188	57835-92-4	O=[N+](O)c4cc3cccc2ccc1cccc4(c1c23)	Training	Carcinogen	Carcinogen
189	759-73-9	O=NN(C(=O)N)CC	Training	Carcinogen	Carcinogen
190	684-93-5	O=NN(C(=O)N)C	Training	Carcinogen	Carcinogen
191	615-53-2	O=NN(C(=O)OCC)C	Test	Carcinogen	Carcinogen
192	924-16-3	O=NN(CCCC)CCCC	Training	Carcinogen	Carcinogen
193	621-64-7	O=NN(CCC)CCC	Test	Carcinogen	Carcinogen
194	1116-54-7	O=NN(CCO)CCO	Training	Carcinogen	Carcinogen
195	55-18-5	O=NN(CC)CC	Training	Carcinogen	Carcinogen
196	62-75-9	O=NN(C)C	Training	Carcinogen	Carcinogen
197	86-30-6	O=NN(c1ccccc1)c2ccccc2	Training	Carcinogen	Carcinogen
198	156-10-5	O=Nc1ccc(cc1)Nc2ccccc2	Training	Carcinogen	Carcinogen
199	10595-95-6	O=NN(C)CC	Training	Carcinogen	Carcinogen
200	59-89-2	O=NN1CCOCC1	Test	Carcinogen	Carcinogen
201	16543-55-8	O=NN2CCCC2(c1cnccc1)	Training	Carcinogen	Carcinogen
202	100-75-4	O=NN1CCCCC1	Training	Carcinogen	Carcinogen
203	930-55-2	O=NN1CCCC1	Training	Carcinogen	Carcinogen
204	3268-87-9	O1c3c(Oc2c1c(c(c(c2Cl)Cl)Cl)Cl)c(c(c(c3Cl)Cl)Cl)Cl	Training	Carcinogen	Carcinogen
205	39001-02-0	o1c3c(c2c1c(c(c(c2Cl)Cl)Cl)Cl)c(c(c(c3Cl)Cl)Cl)Cl	Training	Carcinogen	Carcinogen
206	55738-54-0	O=[N+](O)c2oc(C=Cc1nnc(N=CN(C)C)o1)cc2	Training	Carcinogen	Carcinogen
207	36088-22-9	O1c3cccc(c3(Oc2c1c(c(c(c2Cl)Cl)Cl)Cl))Cl	Training	Carcinogen	Carcinogen
208	57117-41-6	o2c1cc(c(cc1c3c2cc(c(c3Cl)Cl)Cl)Cl)Cl	Training	Carcinogen	Carcinogen
209	57117-31-4	o2c1cc(c(cc1c3cc(c(c(c23)Cl)Cl)Cl)Cl)Cl	Training	Carcinogen	Carcinogen
210	65510-44-3	c1cc(cc(c1c2cc(c(c(c2)Cl)Cl)Cl)Cl)Cl	Training	Carcinogen	Carcinogen
211	31508-00-6	c1cc(c(cc1c2cc(c(cc2Cl)Cl)Cl)Cl)Cl	Training	Carcinogen	Carcinogen
212	32598-14-4	c1cc(c(cc1c2ccc(c(c2Cl)Cl)Cl)Cl)Cl	Test	Carcinogen	Carcinogen
213	74472-37-0	c1cc(ccc1c2cc(c(c(c2Cl)Cl)Cl)Cl)Cl	Training	Carcinogen	Carcinogen
214	57465-28-8	c1cc(c(cc1c2cc(c(c(c2)Cl)Cl)Cl)Cl)Cl	Training	Carcinogen	Carcinogen
215	40321-76-4	O1c3cc(c(cc3(Oc2c1cc(c(c2Cl)Cl)Cl))Cl)Cl	Training	Carcinogen	Carcinogen
216	87-86-5	Oc1c(c(c(c(c1Cl)Cl)Cl)Cl)Cl	Training	Carcinogen	NON-Carcinogen
217	62-44-2	O=C(Nc1ccc(OCC)cc1)C	Training	Carcinogen	Carcinogen
218	94-78-0	N(=Nc1ccc(nc1(N))N)c2ccccc2	Training	Carcinogen	Carcinogen
219	3546-10-9	O=C(OC4CC3=CCC1C(CCC2(C)(C(CCC12)C(C)CCCC(C)C))C3(C)CC4)Cc5ccc(cc5)N(CCCl)CCCl	Training	Carcinogen	Carcinogen
220	50-06-6	O=C2NC(=O)C(c1ccccc1)(C(=O)N2)CC	Training	Carcinogen	NON-Carcinogen
221	59-96-1	O(c1ccccc1)CC(N(Cc2ccccc2)CCCl)C	Training	Carcinogen	Carcinogen
222	59536-65-1	c1cc(c(c(c1c2cc(c(c(c2)Br)Br)Br)Br)Br)Br	Training	Carcinogen	Carcinogen
223	3564-09-8	O=C2C(=NNc1cc(c(cc1C)C)C)c3ccc(cc3(C=C2S(=O)(=O)O))S(=O)(=O)O	Test	Carcinogen	Carcinogen
224	3761-53-3	O=C2C(=NNc1ccc(cc1C)C)c3cc(ccc3(C=C2S(=O)(=O)O))S(=O)(=O)O	Training	Carcinogen	Carcinogen
225	671-16-9	O=C(NC(C)C)c1ccc(cc1)CNNC	Training	Carcinogen	Carcinogen
226	1120-71-4	O=S1(=O)(OCCC1)	Training	Carcinogen	Carcinogen
227	57-57-8	O=C1OCC1	Training	Carcinogen	Carcinogen
228	75-56-9	O1CC1C	Training	Carcinogen	NON-Carcinogen
229	51-52-5	O=C1C=C(NC(N1)=S)CCC	Test	Carcinogen	NON-Carcinogen
230	26148-68-5	n1c(N)ccc3c1[nH]c2ccccc23	Training	Carcinogen	Carcinogen
231	50-55-5	O=C(OC3CC4CN2CCc1c5ccc(OC)cc5([nH]c1C2CC4(C(C(=O)OC)C3(OC))))c6cc(OC)c(OC)c(OC)c6	Training	Carcinogen	Carcinogen
232	94-59-7	O1c2ccc(cc2(OC1))CC=C	Training	Carcinogen	NON-Carcinogen
233	10048-13-2	O=C1c5c(O)cccc5(Oc3c1c(OC)cc2OC4OC=CC4(c23))	Training	Carcinogen	Carcinogen
234	18883-66-4	O=NN(C(=O)NC1C(O)OC(CO)C(O)C1(O))C	Test	Carcinogen	Carcinogen
235	96-09-3	O1CC1c2ccccc2	Training	Carcinogen	NON-Carcinogen
236	95-06-7	C=C(CSC(N(CC)CC)=S)Cl	Test	Carcinogen	NON-Carcinogen
237	140-57-8	O=S(OCCCl)OC(C)COc1ccc(cc1)C(C)(C)C	Training	Carcinogen	Carcinogen
238	1746-01-6	O1c3cc(c(cc3(Oc2cc(c(cc12)Cl)Cl))Cl)Cl	Test	Carcinogen	Carcinogen
239	51207-31-9	o2c1cc(c(cc1c3cc(c(cc23)Cl)Cl)Cl)Cl	Training	Carcinogen	Carcinogen
240	32598-13-3	c1cc(c(cc1c2ccc(c(c2)Cl)Cl)Cl)Cl	Test	Carcinogen	Carcinogen
241	70362-50-4	c1cc(ccc1c2cc(c(c(c2)Cl)Cl)Cl)Cl	Training	Carcinogen	Carcinogen
242	630-20-6	C(C(Cl)(Cl)Cl)Cl	Training	Carcinogen	Carcinogen
243	79-34-5	C(C(Cl)Cl)(Cl)Cl	Test	Carcinogen	Carcinogen
244	127-18-4	C(=C(Cl)Cl)(Cl)Cl	Training	Carcinogen	Carcinogen
