Id	CAS	SMILES	Status	Experimental value 	Predicted value 
59	N.A.	O=C4C=C3CCC2C(CCC1(C)(C2(CCC1(O)(C))))C3(C)CC4	Training	Active	Possible active
60	N.A.	O=C2c1[nH]cnc1N(C(=O)N2C)C	Training	NON-active	NON-active
61	N.A.	Oc1c(ncc(c1CO)CO)C	Training	NON-active	NON-active
62	N.A.	c1ccc(cc1)C=C(c2ccccc2)c3ccccc3	Training	Active	Active
63	N.A.	O(CCN(C)C)C(c1ccccc1)c2ccccc2	Training	NON-active	Not predicted
64	N.A.	O=C1NC2CSC(CCCCC(=O)O)C2(N1)	Training	NON-active	NON-active
65	N.A.	OC1OCC(O)C(O)C1(O)	Training	NON-active	NON-active
66	N.A.	C1(C(C(C(C(C1Cl)Cl)Cl)Cl)Cl)Cl	Training	NON-active	NON-active
67	N.A.	O=S(=O)(N)c1cc2c(cc1Cl)NCNS2(=O)(=O)	Training	NON-active	NON-active
68	N.A.	O=C(Oc2c(c(c1OC(C)(CCc1c2C)CCCC(C)CCCC(C)CCCC(C)C)C)C)C	Training	NON-active	Possible NON-active
69	N.A.	O=C(O)CCC(NC(=O)c1ccc(cc1)NCc2nc3C(=O)N=C(N)Nc3(nc2))C(=O)O	Training	NON-active	NON-active
70	N.A.	O=S(=O)(Nc1nc2ccccc2(nc1))c3ccc(N)cc3	Training	NON-active	NON-active
71	N.A.	O=C(N)NN=Cc1oc(cc1)[N+](=O)[O-]	Training	NON-active	NON-active
72	N.A.	O=C(O)CN(CC(=O)O)CCN(CC(=O)O)CC(=O)O	Training	NON-active	NON-active
73	N.A.	N(=Nc1ccc(N)cc1)c2ccccc2	Training	NON-active	NON-active
74	N.A.	OCCc1ccccc1	Training	NON-active	NON-active
75	N.A.	O=C(O)CCCCCCCC=CCC=CCCCCC	Training	NON-active	NON-active
76	N.A.	O=C(N)C	Training	NON-active	Possible NON-active
77	N.A.	O=C(NC)CSP(OC)(OC)=S	Training	NON-active	Possible NON-active
78	N.A.	O=C(N)C3C(=O)C(N(C)C)C4CC2C(C(=O)c1c(O)cccc1C2(O)(C))C(=O)C4(O)(C3(=O))	Training	NON-active	Possible NON-active
79	N.A.	N1=CCN(C1=S)C	Training	NON-active	Not predicted
80	N.A.	O1C2C1C3CC2C4C3C5(C(=C(C4(C5(Cl)Cl)Cl)Cl)Cl)Cl	Training	NON-active	NON-active
81	N.A.	O=C(O)Cc2cccc1ccccc12	Training	NON-active	NON-active
82	N.A.	n2c1ccc(cc1[s+]c3cc(ccc23)N(C)C)N(C)C	Training	NON-active	Possible NON-active
83	N.A.	n1c[nH]nc1N	Training	NON-active	NON-active
84	N.A.	O=C(O)c1ccc(cc1)[N+](=O)[O-]	Training	NON-active	NON-active
85	N.A.	Nc1ccccc1	Training	NON-active	Possible NON-active
86	N.A.	NC(N)=S	Training	NON-active	Not predicted
87	N.A.	O=P(OC=C(Cl)Cl)(OC)OC	Training	NON-active	Not predicted
88	N.A.	O=C(O)CF	Training	NON-active	Possible NON-active
89	N.A.	O=NN(C)C	Training	NON-active	NON-active
90	N.A.	O=C3C=C2CCC1C4CCC(=O)C4(C)(CCC1C2(C)CC3)	Training	NON-active	Possible NON-active
91	N.A.	O=C(Oc1cccc2ccccc12)NC	Training	NON-active	NON-active
92	N.A.	OCC2OC(OC1C(O)C(O)C(O)OC1(CO))C(O)C(O)C2(O)	Training	NON-active	NON-active
93	N.A.	O=C(N)Nc1ccccc1	Training	NON-active	NON-active
94	N.A.	O=S(=O)(OCC)OCC	Training	NON-active	Not predicted
95	N.A.	O=C(N)c1ccccc1(O)	Training	NON-active	Possible NON-active
96	N.A.	O=C(O)c1ccccc1	Training	NON-active	Possible NON-active
97	N.A.	O=S(=O)(OC)C	Training	NON-active	Possible NON-active
98	N.A.	n2cccc3ccc1cccnc1c23	Training	NON-active	NON-active
99	N.A.	O=C1NC(=O)CC(C1)CC(O)C2C(=O)C(C)CC(C)C2	Training	NON-active	NON-active
100	N.A.	O=C2NC(=O)CN2(N=Cc1oc(cc1)[N+](=O)[O-])	Training	NON-active	NON-active
101	N.A.	O=C(O)Cc2cc(c(Oc1cc(c(O)c(c1)I)I)c(c2)I)I	Training	NON-active	NON-active
102	N.A.	O=S(C)C	Training	NON-active	Possible NON-active
103	N.A.	O=C(O)CC(O)(C(=O)O)CC(=O)O	Training	NON-active	NON-active
104	N.A.	O=C(O)CS	Training	NON-active	Possible NON-active
105	N.A.	O=CN(C)C	Training	NON-active	NON-active
106	N.A.	O=C4C=C3CCC2C(CCC1(C)(C2(CCC1(O)(C#C))))C3CC4	Training	Active	Active
107	N.A.	O=C4C=C3CCC2C(CCC1(C)(C2(CCC1(O)(C(=O)C))))C3(C)CC4	Training	Active	Possible active
108	N.A.	O=C1N=C(N)C=CN1C2OC(CO)C(O)C2(O)	Training	NON-active	NON-active
109	N.A.	O=S(=O)(N)c1ccc(cc1)C	Training	NON-active	NON-active
110	N.A.	OCCC	Training	NON-active	Not predicted
111	N.A.	C#CC3(O)(CCC2C4CCc1cc(OC)ccc1C4(CCC23(C)))	Training	Active	Active
112	N.A.	O(c1ccc(cc1)C(c2ccc(OC)cc2)C(Cl)(Cl)Cl)C	Training	Active	Active
113	N.A.	c1cc(ccc1C(c2ccc(cc2)Cl)C(Cl)Cl)Cl	Training	NON-active	Possible NON-active
114	N.A.	O=C(NCCc2c[nH]c1ccc(OC)cc12)C	Training	NON-active	NON-active
115	N.A.	N(C)C	Training	NON-active	Not predicted
116	N.A.	N(C)(C)C	Training	NON-active	Not predicted
117	N.A.	O=[As](O)(C)C	Training	NON-active	Not predicted
118	N.A.	NC(C)(C)C	Training	NON-active	NON-active
119	N.A.	N#CC(O)(C)C	Training	NON-active	NON-active
120	N.A.	O=S(=O)(O)OC	Training	NON-active	Not predicted
121	N.A.	O=C(O)C(C)(Cl)Cl	Training	NON-active	NON-active
122	N.A.	O=C(O)C(Cl)(Cl)Cl	Training	NON-active	NON-active
123	N.A.	O=C1CC2CCC1(C)C2(C)(C)	Training	NON-active	Possible NON-active
124	N.A.	C1=CC(C2C1C3(C(=C(C2(C3(Cl)Cl)Cl)Cl)Cl)Cl)Cl	Training	NON-active	NON-active
125	N.A.	O=C(OC1CC2CCC1(C)C2(C)(C))C	Training	NON-active	Possible NON-active
126	N.A.	O=C(CC)C(c1ccccc1)(c2ccccc2)CC(N(C)C)C	Training	NON-active	Possible NON-active
127	N.A.	O=C(O)C4C2C1(OC(=O)C2(C)(C(O)C=C1))C5CCC3(O)(C(=C)CC45(C3))	Training	NON-active	NON-active
128	N.A.	O=C3OC(c1ccc(O)cc1)(c2ccc(O)cc2)c4ccccc34	Training	Active	Active
129	N.A.	Oc1ccc(cc1)C(c2ccc(O)cc2)(C)CC	Training	Active	Active
130	N.A.	C=1(C(=C(C(C=1Cl)(Cl)Cl)Cl)Cl)Cl	Training	NON-active	NON-active
131	N.A.	O=C1N(C(=O)C(N1Br)(C)C)Br	Training	NON-active	NON-active
132	N.A.	O=C1NC(=O)C(N1)(C)C	Training	NON-active	NON-active
133	N.A.	C2=CC3C1C=CC(C1)C3(C2)	Training	NON-active	NON-active
134	N.A.	O=S(=O)(OC)OC	Training	NON-active	Not predicted
135	N.A.	O=C(OCC)C2OC2(c1ccccc1)(C)	Training	NON-active	NON-active
136	N.A.	OCC(N)(CO)CO	Training	NON-active	NON-active
137	N.A.	O=C(OC(C(=O)OCCCC)(CC(=O)OCCCC)CC(=O)OCCCC)C	Training	NON-active	NON-active
138	N.A.	O=C(OCC)CC(O)(C(=O)OCC)CC(=O)OCC	Training	NON-active	NON-active
139	N.A.	O(CC)[Si](OCC)(OCC)CC	Training	NON-active	NON-active
140	N.A.	O=[N+]([O-])OCC(CO[N+](=O)[O-])(CO[N+](=O)[O-])CO[N+](=O)[O-]	Training	NON-active	NON-active
141	N.A.	O=P(Oc1ccc(cc1)C)(Oc2ccc(cc2)C)Oc3ccc(cc3)C	Training	NON-active	Not predicted
142	N.A.	O=P(OCC)(OCC)OCC	Training	NON-active	Not predicted
143	N.A.	O=P(OCC(CC)CCCC)(OCC(CC)CCCC)OCC(CC)CCCC	Training	NON-active	Not predicted
144	N.A.	O=P(SCCCC)(SCCCC)SCCCC	Training	NON-active	Possible NON-active
145	N.A.	O=P(OCCOCCCC)(OCCOCCCC)OCCOCCCC	Training	NON-active	Possible NON-active
146	N.A.	O=C1C=C(C)CC(C)(C)C1	Training	NON-active	Possible NON-active
147	N.A.	OC(C)(CC)CCCC(C)C	Training	NON-active	Not predicted
148	N.A.	OC(C=C)(C)CCC=C(C)C	Training	NON-active	NON-active
149	N.A.	N#CC(C)C	Training	NON-active	NON-active
150	N.A.	OC(C)CN	Training	NON-active	Not predicted
151	N.A.	O=C(N)C=C	Training	NON-active	Possible NON-active
152	N.A.	O=C(O)CCl	Training	NON-active	NON-active
153	N.A.	O=C(O)CO	Training	NON-active	Possible NON-active
154	N.A.	O=C(NC)C	Training	NON-active	Possible NON-active
155	N.A.	O=[N+]([O-])CC	Training	NON-active	NON-active
156	N.A.	O=C(N)C(=C)C	Training	NON-active	Possible NON-active
157	N.A.	O=C(O)C(=C)C	Training	NON-active	Possible NON-active
158	N.A.	O=C(O)C(Cl)Cl	Training	NON-active	NON-active
159	N.A.	O=C(N(C)C)Cl	Training	NON-active	NON-active
160	N.A.	O=C(N)C3C(=O)C(N(C)C)C4C(O)C2C(C(=O)c1c(O)cccc1C2(O)(C))C(=O)C4(O)(C3(=O))	Training	NON-active	NON-active
161	N.A.	O=C(C=CC1=C(C)CCCC1(C)C)C	Training	NON-active	Possible NON-active
162	N.A.	C=C2C1CCC(C1)C2(C)C	Training	NON-active	Not predicted
163	N.A.	Oc1c(cc(cc1Br)C(c2cc(c(O)c(c2)Br)Br)(C)C)Br	Training	NON-active	Possible active
164	N.A.	Oc1c(cc(cc1Cl)C(c2cc(c(O)c(c2)Cl)Cl)(C)C)Cl	Training	Active	Possible active
165	N.A.	Oc1ccc(cc1)C(c2ccc(O)cc2)(C)C	Training	Active	Possible active
166	N.A.	O=S(=O)(c1ccc(cc1)Cl)c2ccc(cc2)Cl	Training	NON-active	Possible NON-active
167	N.A.	O=S(=O)(c1ccc(N)cc1)c2ccc(N)cc2	Training	NON-active	Possible NON-active
168	N.A.	O=S(=O)(c1ccc(O)cc1)c2ccc(O)cc2	Training	Active	Not predicted
169	N.A.	OOC(c1ccccc1)(C)C	Training	NON-active	Not predicted
170	N.A.	O=C(OC(C)(C)C1CC=C(C)CC1)C	Training	NON-active	NON-active
171	N.A.	O=C(OC(C)(C)C1CC=C(C)CC1)CC	Training	NON-active	NON-active
172	N.A.	O(OC(c1ccccc1)(C)C)C(c2ccccc2)(C)C	Training	Active	Not predicted
173	N.A.	Oc1ccc(cc1)C(C)(C)CC	Training	Active	Possible active
174	N.A.	O=CC(C)Cc1ccc(cc1)C(C)(C)C	Training	NON-active	Possible NON-active
175	N.A.	C1=C(C)C2CC(C1)C2(C)(C)	Training	NON-active	Not predicted
176	N.A.	O=C2Oc1ccccc1C(=O)C2C(c3ccccc3)CC(=O)C	Training	NON-active	NON-active
177	N.A.	O=C(O)c1ccccc1c3c4ccc(cc4([o+]c2cc(ccc23)N(CC)CC))N(CC)CC	Training	NON-active	NON-active
178	N.A.	O=[N+]([O-])c1c(c(c(c(c1Cl)Cl)Cl)Cl)Cl	Training	NON-active	NON-active
179	N.A.	c2cc1cccc3c1c(c2)CC3	Training	NON-active	NON-active
180	N.A.	O=[N+]([O-])c1cccc(c1C)C	Training	NON-active	NON-active
181	N.A.	O=C1NC(=O)N(c2ncn(c12)C)C	Training	NON-active	Possible NON-active
182	N.A.	O=C3N=C2C(=Nc1cc(c(cc1N2CC(O)C(O)C(O)CO)C)C)C(=O)N3	Training	NON-active	NON-active
183	N.A.	Oc1ccc(cc1)C(CC)C(c2ccc(O)cc2)CC	Training	Active	Active
184	N.A.	O=C(OCC)c1ccccc1(C(=O)OCC)	Training	NON-active	Possible NON-active
185	N.A.	O=C(OCCCC)c1ccccc1(C(=O)OCCCC)	Training	NON-active	Possible NON-active
186	N.A.	O=C(OCCCCCC)c1ccccc1(C(=O)OCCCCCC)	Training	NON-active	Possible NON-active
187	N.A.	c1ccc3c(c1)ccc2ccccc23	Training	NON-active	NON-active
188	N.A.	O=C1NC(=O)C2CC=CCC12	Training	NON-active	NON-active
189	N.A.	O=C1NC(=O)c2ccccc12	Training	NON-active	Possible NON-active
190	N.A.	O=S(=O)(O)c2cccc1ccccc12	Training	NON-active	Not predicted
191	N.A.	O=C1c2ccccc2(N=NN1CSP(OC)(OC)=S)	Training	NON-active	NON-active
192	N.A.	c1ccc3c(c1)c2ccccc2C3	Training	NON-active	Not predicted
193	N.A.	O=C2Oc1cc(ccc1C(=C2)C)N(C)C	Training	NON-active	Possible NON-active
194	N.A.	O=C(OCC)c1ccccc1C	Training	NON-active	Possible NON-active
195	N.A.	O=C(OCC)c1ccccc1(N)	Training	NON-active	Possible NON-active
196	N.A.	Nc1cccc(c1C)C	Training	NON-active	Possible NON-active
197	N.A.	c1cc(c(c(c1)Cl)Cl)Cl	Training	NON-active	NON-active
198	N.A.	Nc1c(cccc1C)C	Training	NON-active	Possible NON-active
199	N.A.	C(C(=C(Cl)Cl)Cl)(=C(Cl)Cl)Cl	Training	NON-active	NON-active
200	N.A.	O=C(O)C(O)C(O)C(=O)O	Training	NON-active	NON-active
201	N.A.	Oc1c(c(c(c(c1Cl)Cl)Cl)Cl)Cl	Training	NON-active	NON-active
202	N.A.	O=C1N(C(=O)N(C(=O)N1Cl)Cl)Cl	Training	NON-active	Possible NON-active
203	N.A.	Oc1c(cc(cc1Cl)Cl)Cl	Training	NON-active	NON-active
204	N.A.	O=C1N(C=C)CCC1	Training	NON-active	NON-active
205	N.A.	Oc1ccccc1C(C)(C)C	Training	NON-active	NON-active
206	N.A.	O=S(=O)(O)c1ccccc1C	Training	NON-active	Not predicted
207	N.A.	Oc1c(cc(cc1C(C)(C)C)CC)Cc2cc(cc(c2(O))C(C)(C)C)CC	Training	NON-active	NON-active
208	N.A.	O=[N+]([O-])c1ccc(O)cc1C(F)(F)F	Training	NON-active	NON-active
209	N.A.	O=C(OC1CCCCC1C(C)(C)C)C	Training	NON-active	Possible NON-active
210	N.A.	O=C(OCC(C)C)CC(C(=O)OCC(C)C)S(=O)(=O)O	Training	NON-active	Possible NON-active
211	N.A.	Oc1cc(c(O)cc1C(C)(C)C)C(C)(C)C	Training	NON-active	NON-active
212	N.A.	O=S(=O)(O)c1ccc(cc1C)C	Training	Active	Not predicted
213	N.A.	Oc1ccccc1C(C)C	Training	NON-active	NON-active
214	N.A.	O=[N+]([O-])c1ccccc1C	Training	NON-active	NON-active
215	N.A.	O=[N+]([O-])c1ccccc1(N)	Training	NON-active	NON-active
216	N.A.	O=[N+]([O-])c1cc(c(O)c(c1)C(C)CC)[N+](=O)[O-]	Training	NON-active	NON-active
217	N.A.	O=C(O)c1ccccc1(C(=O)O)	Training	NON-active	Possible NON-active
218	N.A.	O=C(OCCCCCCCC)c1ccc(C(=O)OCCCCCCCC)c(c1)C(=O)OCCCCCCCC	Training	NON-active	NON-active
219	N.A.	O=C(OC)c1ccccc1C	Training	NON-active	Possible NON-active
220	N.A.	Oc1ccccc1C(C)CC	Training	NON-active	NON-active
221	N.A.	OC1CC(C)CCC1(C(C)C)	Training	NON-active	Not predicted
222	N.A.	Oc1cc(ccc1C(C)C)C	Training	NON-active	NON-active
223	N.A.	O=[N+]([O-])c1ccc(cc1C)C	Training	NON-active	NON-active
224	N.A.	Oc1ccccc1CC	Training	NON-active	Not predicted
225	N.A.	O=Cc1ccccc1(O)	Training	NON-active	Possible NON-active
226	N.A.	O(c1ccccc1(N))C	Training	NON-active	Possible NON-active
227	N.A.	Oc1ccccc1(OC)	Training	NON-active	Not predicted
228	N.A.	c1ccc2c(c1)cccc2C	Training	NON-active	NON-active
229	N.A.	Oc1ccccc1c2ccccc2	Training	NON-active	Not predicted
230	N.A.	Oc1c(cc(cc1CN(C)C)CN(C)C)CN(C)C	Training	NON-active	NON-active
231	N.A.	O=C(c1ccc(cc1)N(C)C)c2ccc(cc2)N(C)C	Training	NON-active	Possible NON-active
232	N.A.	c1ccc2ccccc2(c1)	Training	NON-active	Not predicted
233	N.A.	n1cccc2ccccc12	Training	NON-active	NON-active
234	N.A.	O=Cc1ccccc1S(=O)(=O)O	Training	NON-active	Possible NON-active
235	N.A.	O(c1ccc2NC(C=C(c2(c1))C)(C)C)CC	Training	NON-active	NON-active
236	N.A.	Nc1ccc2ccccc2(c1)	Training	NON-active	Possible NON-active
237	N.A.	n1cccc2cc(ccc12)C	Training	NON-active	NON-active
238	N.A.	O=C1Oc2ccccc2(C=C1)	Training	NON-active	Possible NON-active
239	N.A.	c1ccc(cc1)N(CC)CC	Training	NON-active	NON-active
240	N.A.	Oc2ccc(c1ccccc1)c(c2)Cl	Training	Active	Possible NON-active
241	N.A.	c1ccc(cc1)c2ccccc2	Training	NON-active	Not predicted
242	N.A.	Oc1ccc(cc1)c2ccccc2	Training	Active	Not predicted
243	N.A.	c1ccc3c(c1)Nc2ccccc2S3	Training	NON-active	Possible NON-active
244	N.A.	O=C(c1ccc2ccccc2(c1))C	Training	NON-active	Possible NON-active
245	N.A.	O(c1ccc(cc1(OC))CC=C)C	Training	NON-active	Not predicted
246	N.A.	OCC(O)c1ccccc1	Training	NON-active	NON-active
247	N.A.	O=C(O)C(Oc1ccc(cc1C)Cl)C	Training	NON-active	NON-active
248	N.A.	O=C(O)COc1cc(c(cc1Cl)Cl)Cl	Training	NON-active	NON-active
249	N.A.	O=C(OCC)c1ccccc1	Training	NON-active	Possible NON-active
250	N.A.	O=C(OC(c1ccccc1)C)C	Training	NON-active	Possible NON-active
251	N.A.	O=C(Oc1ccccc1)c2ccccc2	Training	NON-active	Possible NON-active
252	N.A.	O=C(OCC)c1ccc(cc1)C	Training	NON-active	Possible NON-active
253	N.A.	O=C(OCC)c1ccc(N)cc1	Training	NON-active	Possible NON-active
254	N.A.	O=C(OCCC)c1ccc(O)cc1	Training	Active	Possible active
255	N.A.	O=C(OCc1ccccc1)c2ccc(O)cc2	Training	Active	Possible active
256	N.A.	O=C(OCCCC)c1ccc(O)cc1	Training	Active	Possible active
257	N.A.	O=C(OCCOCCOCCOC(=O)C(CC)CCCC)C(CC)CCCC	Training	NON-active	NON-active
258	N.A.	O1c2ccc(cc2(OC1))CC=C	Training	NON-active	Not predicted
259	N.A.	O=C(OC)C1CCC(C(=O)OC)CC1	Training	NON-active	NON-active
260	N.A.	Oc1ccccc1(OCC)	Training	NON-active	Not predicted
261	N.A.	O=C(O)COc1ccc(cc1C)Cl	Training	NON-active	NON-active
262	N.A.	O=C(O)COc1ccc(cc1Cl)Cl	Training	NON-active	NON-active
263	N.A.	O=C(OCCCC)COc1ccc(cc1Cl)Cl	Training	NON-active	NON-active
264	N.A.	O=C(O)CCCOc1ccc(cc1C)Cl	Training	NON-active	NON-active
265	N.A.	O=C(O)CCCOc1ccc(cc1Cl)Cl	Training	NON-active	NON-active
266	N.A.	Oc2ccccc2(C=NCC(N=Cc1ccccc1(O))C)	Training	NON-active	Not predicted
267	N.A.	OCC(CC)C(O)CCC	Training	NON-active	NON-active
268	N.A.	n1nc2ccccc2([nH]1)	Training	NON-active	Not predicted
269	N.A.	n1csc2ccccc12	Training	NON-active	Not predicted
270	N.A.	OCCN1C(=NCC1)CCCCCCCC=CCCCCCCCC	Training	NON-active	NON-active
271	N.A.	Oc1ccccc1C	Training	NON-active	Not predicted
272	N.A.	c1ccc(c(c1)C)Cl	Training	NON-active	Possible NON-active
273	N.A.	c1ccc(c(c1)Cl)Cl	Training	NON-active	NON-active
274	N.A.	Nc1ccccc1C	Training	NON-active	Possible NON-active
275	N.A.	Nc1ccccc1(N)	Training	NON-active	Possible NON-active
276	N.A.	Oc1ccccc1Cl	Training	NON-active	Possible NON-active
277	N.A.	c1cc(c(cc1C)C)C	Training	NON-active	Not predicted
278	N.A.	Oc1ccc(c(c1)C)C	Training	NON-active	Not predicted
279	N.A.	Nc1ccc(c(c1)Cl)C	Training	NON-active	Possible NON-active
280	N.A.	Nc1ccc(c(c1)Cl)Cl	Training	NON-active	NON-active
281	N.A.	Nc1ccc(c(N)c1)C	Training	NON-active	Possible NON-active
282	N.A.	Nc1ccc(cc1(N))Cl	Training	NON-active	Possible NON-active
283	N.A.	Oc1cc(ccc1C)C	Training	NON-active	Not predicted
284	N.A.	c1c(c(cc(c1C)C)C)C	Training	NON-active	Not predicted
285	N.A.	c1c(c(cc(c1Cl)Cl)Cl)Cl	Training	NON-active	NON-active
286	N.A.	Oc1cc(c(cc1Cl)Cl)Cl	Training	NON-active	NON-active
287	N.A.	O1CC1c2ccccc2	Training	NON-active	NON-active
288	N.A.	C(C(CCl)Cl)Cl	Training	NON-active	NON-active
289	N.A.	OC(CCl)CCl	Training	NON-active	NON-active
290	N.A.	OCC(O)CCl	Training	NON-active	NON-active
291	N.A.	O=NC(C)CC	Training	NON-active	NON-active
292	N.A.	C=1C=CC(C=1)C	Training	NON-active	Not predicted
293	N.A.	OC1CCCC1	Training	NON-active	Not predicted
294	N.A.	N1C(NCC1)=S	Training	NON-active	Not predicted
295	N.A.	O=C1OCCC1	Training	NON-active	Possible NON-active
296	N.A.	Oc1ccc(cc1C(C)(C)C)CC	Training	NON-active	NON-active
297	N.A.	Oc1ccc(cc1C(C)(C)C)C(C)(C)C	Training	NON-active	Possible active
298	N.A.	O=[N+]([O-])c1ccc(c(c1)[N+](=O)[O-])Cl	Training	NON-active	NON-active
299	N.A.	Oc1ccc(cc1Cc2cc(ccc2(O))Cl)Cl	Training	NON-active	NON-active
