Id	CAS	SMILES	Status	Experimental value 	Predicted value 
87	88-24-4	CC(C)(C)c1cc(CC)cc(Cc2cc(CC)cc(c2O)C(C)(C)C)c1O	Training	Active	Active
88	2321-07-5	Oc1cc2Oc3cc(O)ccc3C3(OC(=O)c4ccccc34)c2cc1	Training	Active	Active
89	83657-24-3	CC(C)(C)C(O)C(=Cc1ccc(Cl)cc1Cl)[n]1c[n]c[n]1	Training	Active	Active
90	4574-04-3	CCCCCCCCCCCCCC[N+](C)(C)C	Training	Active	Active
91	131-55-5	Oc1cc(O)c(cc1)C(=O)c1ccc(O)cc1O	Training	Active	Active
92	115-39-9	Oc1c(Br)cc(cc1Br)C1(OS(=O)(=O)c2ccccc12)c1cc(Br)c(O)c(Br)c1	Training	Active	Active
93	59227-89-3	CCCCCCCCCCCCN1CCCCCC1=O	Training	Active	Active
94	630-56-8	CC(=O)C1(CCC2C3CCC4=CC(=O)CCC4(C)C3CCC12C)OC(=O)CCCCC	Training	Active	Active
95	5137-55-3	C[N+](CCCCCCCC)(CCCCCCCC)CCCCCCCC	Training	Active	Active
96	18924-66-8	CCCCCCCCCCCCCCN(CCO)CCO	Training	Active	Active
97	105624-86-0	CC(C)c1cccc(C(C)C)c1N1C(=O)c2cc(O)ccc2C1=O	Training	Active	Active
98	139340-56-0	CC(C)(C)c1cc(C=C2SC(=N)NC2=O)cc(c1O)C(C)(C)C	Training	Active	Active
99	221246-12-4	CCc1cc(cc2OCOc12)C1=C(C(O)=O)N(c2ccccc2C(F)(F)F)S(=O)(=O)c2ccccc21	Training	Active	Active
100	145742-28-5	COc1ccc(cc1CNC1CCCNC1c1ccccc1)OC(F)(F)F	Training	Active	Active
101	676116-04-4	Cc1cc(CCN2CCN(CC2)c2[n][s]c3ccccc32)cc2c1NC(=O)CC2(C)C	Training	Active	Active
102	361343-19-3	CN1CCN(CC1)c1ccccc1C=C1SCCN(C1=O)c1cc(Cl)c(Cl)cc1	Training	Active	Active
103	291305-06-1	CNC1CCC(c2ccc(cc21)S(N)(=O)=O)c1cc(Cl)c(Cl)cc1	Training	Active	Active
104	N.A.	Cc1[n]c2ccccc2[n]1C1CC2CCC(C1)N2CCC1(CCN(CC1)C(=O)c1cc(c(F)cc1Cl)S(=O)(=O)NC)c1cccc(F)c1	Training	Active	Active
105	180084-01-9	CCN1CCC2(COc3cc4CCN(C(=O)c5ccc(cc5)-c5ccc(cc5C)-c5[n][n]c(C)o5)c4cc23)CC1	Training	Active	Active
106	N.A.	CN(C(C)C)C(=O)C(Cc1ccc(CN2C(C)CCCC2C)cc1)NC(=O)CC(NS(=O)(=O)c1cc2ccc(cc2cc1)OC)c1cc2OCOc2cc1	Training	Active	Active
107	N.A.	CN(C)C(=O)C1(CCN(CCC2(CN(CCO2)C(=O)c2ccccc2)c2cc(Cl)c(Cl)cc2)CC1)N1CCCCC1	Training	Active	Active
108	N.A.	CCN(Cc1c[n]ccc1)C(=O)c1cccc(Cl)c1C1(C)C(=O)N(Cc2ccc(cc2OC)OC)c2ccc(Cl)cc12	Training	Active	Active
109	N.A.	CCOC(=O)c1ccc(cc1)C1CCC(CC1)NCC(O)COc1ccc(O)c(c1)NS(C)(=O)=O	Training	Active	Active
110	474-86-2	CC12CCC3c4ccc(O)cc4CC=C3C1CCC2=O	Training	Active	Active
111	6344-67-8	Oc1cc2c(Cc3ccccc-23)cc1	Training	Active	Active
112	484-17-3	Oc1cc2ccccc2c2ccccc21	Training	Active	Active
113	2919-66-6	CC(=O)C1(OC(C)=O)C(=C)CC2C3C=C(C)C4=CC(=O)CCC4(C)C3CCC12C	Training	Active	Active
114	68392-35-8	CCC(=C(c1ccc(cc1)OCCN(C)C)c1ccc(O)cc1)c1ccccc1	Training	Active	Active
115	588941-45-1	CS(=O)(=O)c1ccc(cc1Cl)C(CC1CCCC1)C(=O)Nc1c[n]cc[n]1	Training	Active	Active
116	460081-99-6	OC(=O)c1cc(ccc1)N(Cc1c[n]ccc1)c1cc(OC(F)F)c(cc1)OC(F)F	Training	Active	Active
117	1062243-51-9	CN1CCC(CC1)NC(=O)c1ccc(Nc2[n]c3c(c[n]2)N(C)C(=O)C(F)(F)CN3C2CCCC2)c(c1)OC	Training	Active	Active
118	686756-87-6	CN1C(=O)N(Cc2c[n]c(Nc3cc4OCC(CO)Oc4cc3)[n]c12)c1ccccc1Br	Training	Active	Active
119	705-60-2	CC(=Cc1ccccc1)[N+]([O-])=O	Training	Active	Active
120	90357-06-5	CC(O)(CS(=O)(=O)c1ccc(F)cc1)C(=O)Nc1cc(c(cc1)C#N)C(F)(F)F	Training	Active	Active
121	N.A.	CC12CCC3C(C1C1CC1C12CCC(=O)O1)C1CC1C1=CC(=O)CCC13C	Training	Active	Active
122	N.A.	CC1(C)C(=O)N(C(=S)N1c1cc(F)c(cc1)C(=O)NC)c1cc(c(cc1)C#N)C(F)(F)F	Training	Active	Active
123	4180-23-8	CC=Cc1ccc(cc1)OC	Training	NON-active	Active
124	92-87-5	Nc1ccc(cc1)-c1ccc(N)cc1	Training	NON-active	Active
125	92-52-4	c1ccccc1-c1ccccc1	Training	NON-active	Active
126	1563-66-2	CC1(C)Cc2cccc(OC(=O)NC)c2O1	Training	NON-active	Active
127	100-00-5	[O-][N+](=O)c1ccc(Cl)cc1	Training	NON-active	Active
128	106-47-8	Nc1ccc(Cl)cc1	Training	NON-active	Active
129	53-70-3	c1c2c3ccccc3ccc2cc2c3ccccc3ccc21	Training	NON-active	Active
130	91-53-2	CC1=CC(C)(C)Nc2ccc(cc12)OCC	Training	NON-active	Active
131	2385-85-5	ClC1(Cl)C2(Cl)C3(Cl)C4(Cl)C2(Cl)C2(Cl)C(Cl)(C3(Cl)C12Cl)C4(Cl)Cl	Training	NON-active	Active
132	53-03-2	CC12CC(=O)C3C(CCC4=CC(=O)C=CC43C)C1CCC2(O)C(=O)CO	Training	Active	Active
133	80-46-6	CC(C)(CC)c1ccc(O)cc1	Training	NON-active	Active
134	95-76-1	Nc1cc(Cl)c(Cl)cc1	Training	NON-active	Active
135	114-26-1	CNC(=O)Oc1ccccc1OC(C)C	Training	NON-active	Active
136	132-64-9	c1cccc2oc3ccccc3c21	Training	NON-active	Active
137	89-72-5	CCC(C)c1ccccc1O	Training	NON-active	Active
138	99-71-8	CCC(C)c1ccc(O)cc1	Training	NON-active	Active
139	521-18-6	CC12CCC3C(CCC4CC(=O)CCC43C)C1CCC2O	Training	Active	Active
140	57-83-0	CC(=O)C1CCC2C3CCC4=CC(=O)CCC4(C)C3CCC21C	Training	Active	Active
141	143-74-8	Oc1ccc(cc1)C1(OS(=O)(=O)c2ccccc12)c1ccc(O)cc1	Training	NON-active	Active
142	118-82-1	CC(C)(C)c1cc(Cc2cc(c(O)c(c2)C(C)(C)C)C(C)(C)C)cc(c1O)C(C)(C)C	Training	NON-active	Active
143	97-54-1	CC=Cc1cc(OC)c(O)cc1	Training	NON-active	Active
144	126-00-1	CC(CCC(O)=O)(c1ccc(O)cc1)c1ccc(O)cc1	Training	NON-active	Active
145	81-90-3	OC(=O)c1ccccc1C(c1ccc(O)cc1)c1ccc(O)cc1	Training	NON-active	Active
146	50-22-6	CC12CCC(=O)C=C1CCC1C2C(O)CC2(C)C(CCC21)C(=O)CO	Training	Active	Active
147	140-10-3	OC(=O)C=Cc1ccccc1	Training	NON-active	Active
148	68-22-4	CC12CCC3C4CCC(=O)C=C4CCC3C1CCC2(O)C#C	Training	Active	Active
149	56-55-3	c1c2c3ccccc3ccc2cc2ccccc21	Training	NON-active	Active
150	205-99-2	c1c2c3c(cccc3-c3ccccc3-2)c2ccccc21	Training	NON-active	Active
151	86-73-7	C1c2ccccc2-c2ccccc21	Training	NON-active	Active
152	85-01-8	c1cc2ccccc2c2ccccc21	Training	NON-active	Active
153	129-00-0	c1cc2cccc3ccc4cccc1c4c32	Training	NON-active	Active
154	88671-89-0	CCCCC(C[n]1c[n]c[n]1)(C#N)c1ccc(Cl)cc1	Training	NON-active	Active
155	63-05-8	CC12CCC(=O)C=C1CCC1C2CCC2(C)C1CCC2=O	Training	Active	Active
156	14371-10-9	O=CC=Cc1ccccc1	Training	NON-active	Active
157	99-54-7	[O-][N+](=O)c1cc(Cl)c(Cl)cc1	Training	NON-active	Active
158	122-57-6	CC(=O)C=Cc1ccccc1	Training	NON-active	Active
159	120-14-9	COc1ccc(C=O)cc1OC	Training	NON-active	Active
160	101-86-0	CCCCCCC(C=O)=Cc1ccccc1	Training	NON-active	Active
161	112-18-5	CCCCCCCCCCCCN(C)C	Training	NON-active	Active
162	27090-63-7	CCCCN(CCCC)CCCCCCN(CCCC)CCCC	Training	NON-active	Active
163	32388-55-9	CC1(C)C2CC3(CC(C(C)=O)=C2C)C1CCC3C	Training	NON-active	Active
164	22781-23-3	CNC(=O)Oc1cccc2OC(C)(C)Oc21	Training	NON-active	Active
165	94361-06-5	CC(C1CC1)C(O)(C[n]1c[n]c[n]1)c1ccc(Cl)cc1	Training	NON-active	Active
166	122836-35-5	CC1=NN(C(=O)N1C(F)F)c1cc(NS(C)(=O)=O)c(Cl)cc1Cl	Training	NON-active	NON-active
167	58-18-4	CC12CCC3C(CCC4=CC(=O)CCC43C)C1CCC2(C)O	Training	Active	Active
168	52-86-8	OC1(CCN(CCCC(=O)c2ccc(F)cc2)CC1)c1ccc(Cl)cc1	Training	NON-active	Active
169	10161-33-8	CC12C=CC3C(CCC4=CC(=O)CCC4=3)C1CCC2O	Training	Active	Active
170	27344-41-8	OS(=O)(=O)c1ccccc1C=Cc1ccc(cc1)-c1ccc(cc1)C=Cc1ccccc1S(O)(=O)=O	Training	NON-active	Active
171	797-63-7	CCC12CCC3C4CCC(=O)C=C4CCC3C1CCC2(O)C#C	Training	Active	Active
172	57-85-2	CCC(=O)OC1CCC2C3CCC4=CC(=O)CCC4(C)C3CCC12C	Training	Active	Active
173	1434-54-4	CC(=O)C1C(CC2C3CC=C4CC(O)CCC4(C)C3CCC21C)C#N	Training	NON-active	Active
174	124-94-7	CC12C=CC(=O)C=C1CCC1C3CC(O)C(O)(C(=O)CO)C3(C)CC(O)C21F	Training	Active	Active
175	68-96-2	CC(=O)C1(O)CCC2C3CCC4=CC(=O)CCC4(C)C3CCC12C	Training	Active	Active
176	104-54-1	OCC=Cc1ccccc1	Training	NON-active	Active
177	4468-42-2	CCC(CCC)c1ccccc1	Training	NON-active	Active
178	140-38-5	NC(=O)Nc1ccc(Cl)cc1	Training	NON-active	Active
179	4449-51-8	CC12CCC(O)CC1=CCC1C2CC2C1CCC1(OC3CC(C)CNC3C1C)C=2C	Training	NON-active	Active
180	N.A.	Cc1cc2CCN3c2c(c1)C(=NC(NC(=O)c1cc[n]cc1)C3=O)c1ccccc1	Training	NON-active	Active
181	368832-42-2	CCC1CCC(NCc2cc3c(cc2OC)C2CC2C(=O)N3C)C(N1)c1ccccc1	Training	NON-active	Active
182	N.A.	CCOc1cc(ccc1)C1(CCC(C)CC1)N1CCN(CC1)c1ccccc1	Training	NON-active	Active
183	725228-45-5	NCc1cc(ccc1)C1CCN(CC1)C(=O)c1ccc(C#Cc2ccccc2F)o1	Training	Active	Active
184	2392-39-4	CC1CC2C3CCC4=CC(=O)C=CC4(C)C3(F)C(O)CC2(C)C1(O)C(=O)COP(O)(O)=O	Training	Active	Active
185	132-65-0	c1cccc2[s]c3ccccc3c21	Training	NON-active	Active
186	1625-91-8	CC(C)(C)c1ccc(cc1)-c1ccc(cc1)C(C)(C)C	Training	NON-active	Active
187	122-40-7	CCCCCC(C=O)=Cc1ccccc1	Training	NON-active	Active
188	N.A.	CC12CCC3C(CCC4CC(=O)OCC43C)C1CCC2(C)O	Training	Active	Active
189	N.A.	CC12CCC3C(CCC4=CC(=O)CCC43C)C1CCC2O	Training	Active	Active
190	N.A.	CC12CCC(=O)C=C1CCC1C3CCC(O)(C(=O)CO)C3(C)CC(O)C21F	Training	Active	Active
191	N.A.	CC1CC2(C)C3CCC4(C)C(O)CCC4C3CCC2CC1=O	Training	Active	Active
192	N.A.	CC12CCC3C4CCC(=O)C=C4CCC3C1CCC2OC(=O)CCc1ccccc1	Training	Active	Active
193	N.A.	CC1(O)CCC2C3CCC4=CC(=O)CCC4(C)C3(F)C(O)CC12C	Training	Active	Active
194	N.A.	CC12CCC3C(CCC4=Cc5o[n]cc5CC43C)C1CCC2(O)C#C	Training	Active	Active
195	N.A.	CC12CCC3C(CCC4CC(=O)C=CC43C)C1CCC2O	Training	Active	Active
196	N.A.	CC12CCC3C(CCC4=CC(=O)C=CC43C)C1CCC2O	Training	Active	Active
197	N.A.	CC1CC2=CC(=O)CCC2(C)C2CCC3(C)C(CCC3(C)O)C12	Training	Active	Active
198	N.A.	CC12C=CC3C(CCC4=CC(=O)CCC4=3)C1CCC2(C)O	Training	Active	Active
199	N.A.	CC1(O)CCC2C3CCC4CC(=O)C(CC4(C)C3CCC12C)=CO	Training	Active	Active
200	N.A.	CCCCCCCCCC(=O)OC1CCC2C3CCC4=CC(=O)CCC4C3CCC21C	Training	Active	Active
201	22260-51-1	CN1CC(C=C2C1Cc1c(Br)[nH]c3cccc2c13)C(=O)NC1(OC2(O)C3CCCN3C(=O)C(CC(C)C)N2C1=O)C(C)C	Training	Active	Active
202	N.A.	CC12CCC3C(CCc4cc(O)ccc43)C1CCC2O	Training	Active	Active
203	604-75-1	OC1N=C(c2cc(Cl)ccc2NC1=O)c1ccccc1	Training	Active	Active
204	27955-94-8	CC(c1ccc(O)cc1)(c1ccc(O)cc1)c1ccc(O)cc1	Training	Active	Active
205	864283-48-7	NC(=O)CN(CC(F)(F)F)c1cc(c(cc1)C#N)C(F)(F)F	Training	Active	Active
206	95-83-0	Nc1cc(Cl)ccc1N	Training	NON-active	Active
207	50-29-3	ClC(Cl)(Cl)C(c1ccc(Cl)cc1)c1ccc(Cl)cc1	Training	NON-active	Active
208	548-62-9	C[N+](C)=C1C=CC(C=C1)=C(c1ccc(cc1)N(C)C)c1ccc(cc1)N(C)C	Training	NON-active	Active
209	72-43-5	COc1ccc(cc1)C(c1ccc(cc1)OC)C(Cl)(Cl)Cl	Training	NON-active	Active
210	52-01-7	CC(=O)SC1CC2=CC(=O)CCC2(C)C2CCC3(C)C(CCC43CCC(=O)O4)C21	Training	NON-active	Active
211	23184-66-9	CCCCOCN(C(=O)CCl)c1c(CC)cccc1CC	Training	NON-active	Active
212	135080-03-4	NC(=O)N1c2cc(Cl)c(F)cc2C(C(=O)c2cc(Cl)c[s]2)C1=O	Training	NON-active	Active
213	N.A.	COc1cccc(c1)-c1ccc(C=CCN2CCCCCC2)cc1Cl	Training	NON-active	Active
214	2465-27-2	CN(C)c1ccc(cc1)C(=N)c1ccc(cc1)N(C)C	Training	Active	NON-active
215	145-73-3	OC(=O)C1C(C2CCC1O2)C(O)=O	Training	Active	NON-active
216	64359-81-5	CCCCCCCCN1SC(Cl)=C(Cl)C1=O	Training	Active	NON-active
217	221671-62-1	Cc1cc2cc(C(=O)Nc3[n]c(-c4cc(OC)c(Cl)cc4OC)c(CCC4CCCCC4)[s]3)[n](CC(O)=O)c2c(C)c1	Training	Active	NON-active
218	97-56-3	Cc1ccccc1N=Nc1cc(C)c(N)cc1	Training	Active	NON-active
219	86-50-0	COP(=S)(OC)SCN1N=Nc2ccccc2C1=O	Training	Active	NON-active
220	72-55-9	ClC(Cl)=C(c1ccc(Cl)cc1)c1ccc(Cl)cc1	Training	Active	NON-active
221	136-77-6	CCCCCCc1ccc(O)cc1O	Training	Active	NON-active
222	1836-75-5	[O-][N+](=O)c1ccc(cc1)Oc1ccc(Cl)cc1Cl	Training	Active	NON-active
223	156-10-5	O=Nc1ccc(cc1)Nc1ccccc1	Training	Active	NON-active
224	97-77-8	CCN(CC)C(=S)SSC(=S)N(CC)CC	Training	Active	NON-active
225	126-72-7	O=P(OCC(Br)CBr)(OCC(Br)CBr)OCC(Br)CBr	Training	Active	NON-active
226	10453-86-8	CC(C)=CC1C(C(=O)OCc2coc(Cc3ccccc3)c2)C1(C)C	Training	Active	NON-active
227	520-36-5	Oc1cc(O)cc2OC(=CC(=O)c12)c1ccc(O)cc1	Training	Active	Active
228	131-56-6	Oc1cc(O)c(cc1)C(=O)c1ccccc1	Training	Active	NON-active
229	500-38-9	CC(Cc1cc(O)c(O)cc1)C(C)Cc1cc(O)c(O)cc1	Training	Active	NON-active
230	61-73-4	CN(C)c1cc2[s+]c3cc(ccc3[n]c2cc1)N(C)C	Training	Active	NON-active
231	85509-19-9	C[Si](C[n]1c[n]c[n]1)(c1ccc(F)cc1)c1ccc(F)cc1	Training	Active	NON-active
232	35691-65-7	N#CCCC(Br)(CBr)C#N	Training	Active	NON-active
233	17372-87-1	OC(=O)c1ccccc1C1c2cc(Br)c(O)c(Br)c2OC2C=1C=C(Br)C(=O)C=2Br	Training	Active	NON-active
234	6088-51-3	Oc1cc2ccc(cc2cc1)SSc1cc2ccc(O)cc2cc1	Training	Active	NON-active
235	6317-18-6	N#CSCSC#N	Training	Active	NON-active
236	13674-87-8	O=P(OC(CCl)CCl)(OC(CCl)CCl)OC(CCl)CCl	Training	Active	NON-active
237	55406-53-6	CCCCNC(=O)OCC#CI	Training	Active	NON-active
238	3380-34-5	Oc1cc(Cl)ccc1Oc1ccc(Cl)cc1Cl	Training	Active	NON-active
239	1192-52-5	O=C1SSC(Cl)=C1Cl	Training	Active	NON-active
240	135158-54-2	CSC(=O)c1cccc2[n][n][s]c12	Training	Active	NON-active
241	2634-33-5	O=C1NSc2ccccc21	Training	Active	NON-active
