Id	CAS	SMILES	Status	Experimental value 	Predicted value 
190	N.A.	O=[N+]([O-])c1ccc(cc1)Nc2ccccc2	Training	NON-Sensitizer	NON-Sensitizer
191	N.A.	O=C(O)c1cccc(c1)C(=O)O	Training	NON-Sensitizer	NON-Sensitizer
192	N.A.	O=C(OC)c1ccccc1(N=CCCCCCCCCC)	Training	NON-Sensitizer	NON-Sensitizer
193	N.A.	N#CC(CCl)Cl	Training	Sensitizer	Sensitizer
194	N.A.	O=[N+]([O-])c1ccccc1(N)	Training	NON-Sensitizer	NON-Sensitizer
195	N.A.	O=CC(=Cc1ccccc1)CCCCCC	Training	Sensitizer	Sensitizer
196	N.A.	O=C1c4ccccc4(NC1=C2Nc3ccccc3(C2(=O)))	Training	NON-Sensitizer	NON-Sensitizer
197	N.A.	O=C(OCc1ccccc1)c2ccccc2(O)	Test	NON-Sensitizer	NON-Sensitizer
198	N.A.	O=CCCc1ccc(cc1)C(C)(C)C	Training	Sensitizer	Sensitizer
199	N.A.	O=CCCCCCC	Training	Sensitizer	Sensitizer
200	N.A.	OCCCCCCCCCCCCCCCCCCCCCC	Training	NON-Sensitizer	NON-Sensitizer
201	N.A.	N=C(Nc1ccccc1C)Nc2ccccc2C	Training	NON-Sensitizer	NON-Sensitizer
202	N.A.	O=C(O)c1ccc2C(=O)OC(=O)c2(c1)	Training	NON-Sensitizer	NON-Sensitizer
203	N.A.	O=C(O)c1ccc(C(=O)O)c(c1)C(=O)O	Training	NON-Sensitizer	NON-Sensitizer
204	N.A.	O=CC(CC)CCCC	Training	Sensitizer	Sensitizer
205	N.A.	O=CCCC=C1CC2CC1C3CCCC23	Test	Sensitizer	Sensitizer
206	N.A.	OC(C=C)(C)CCCC(C)CCCC(C)CCCC(C)C	Training	NON-Sensitizer	NON-Sensitizer
207	N.A.	Nc1ccc(cc1)Nc2ccccc2	Training	NON-Sensitizer	NON-Sensitizer
208	N.A.	O1C(C=C(C)CC1C)CCCC	Training	Sensitizer	Sensitizer
209	N.A.	O=CC=CC=CCCCCC	Training	Sensitizer	Sensitizer
210	N.A.	O=C1OC(C(O)=C1(O))C(O)CO	Test	NON-Sensitizer	NON-Sensitizer
211	N.A.	OC(C=C)(C)C	Training	NON-Sensitizer	NON-Sensitizer
212	N.A.	OCC=C(C)CCC=C(C)C	Training	Sensitizer	Sensitizer
213	N.A.	OCC=Cc1ccccc1	Training	NON-Sensitizer	NON-Sensitizer
214	N.A.	O=C(O)CCCCCCC	Training	Sensitizer	Sensitizer
215	N.A.	O=C(O)CCCCCCCCCCC(=O)O	Training	NON-Sensitizer	NON-Sensitizer
216	N.A.	OCCCC	Training	NON-Sensitizer	NON-Sensitizer
217	N.A.	Oc1ccccc1C(C)CC	Training	Sensitizer	Sensitizer
218	N.A.	O(C)[Si](OC)(OC)CCCNCCN	Training	NON-Sensitizer	NON-Sensitizer
219	N.A.	OCC(CO)(CO)CO	Training	NON-Sensitizer	NON-Sensitizer
220	N.A.	O=C(OCCOCC)C(=C)C	Test	NON-Sensitizer	NON-Sensitizer
221	N.A.	ON=CC	Training	Sensitizer	Sensitizer
222	N.A.	[O-][N+](C)(C)CCCCCCCCCCCC	Training	NON-Sensitizer	NON-Sensitizer
223	N.A.	O=CC(=C)C	Test	Sensitizer	Sensitizer
224	N.A.	OCC(CCC)CCCCC	Training	Sensitizer	Sensitizer
225	N.A.	CCCCCBr	Training	Sensitizer	Sensitizer
226	N.A.	OCCNCCN	Training	NON-Sensitizer	NON-Sensitizer
227	N.A.	C(=C(Cl)Cl)(Cl)Cl	Training	Sensitizer	Sensitizer
228	N.A.	OCC(O)CO	Training	NON-Sensitizer	NON-Sensitizer
229	N.A.	C=CCCCC	Training	NON-Sensitizer	NON-Sensitizer
230	N.A.	O=[N+]([O-])c1ccc(cc1)C	Training	NON-Sensitizer	NON-Sensitizer
231	N.A.	O=C1N(C)CCC1	Test	NON-Sensitizer	NON-Sensitizer
232	N.A.	OOC(OOC(OO)(C)CC)(C)CC	Training	Sensitizer	Sensitizer
233	N.A.	O=C(O)c1cc2ccccc2(cc1(O))	Training	NON-Sensitizer	Sensitizer
234	N.A.	O=CC1(C)(CC=C(CCCC(C)C)CC1)	Training	Sensitizer	Sensitizer
235	N.A.	CCCSSCCC	Test	Sensitizer	Sensitizer
236	N.A.	O=C(OCC=C)c1ccccc1(C(=O)OCC=C)	Training	NON-Sensitizer	NON-Sensitizer
237	N.A.	N=C(Nc1ccccc1)Nc2ccccc2	Training	NON-Sensitizer	NON-Sensitizer
238	N.A.	O=CCCCC=O	Training	NON-Sensitizer	NON-Sensitizer
239	N.A.	O=S(C)C	Training	NON-Sensitizer	NON-Sensitizer
240	N.A.	O=CCc1ccc(cc1)C(C)C	Training	Sensitizer	Sensitizer
241	N.A.	O=C(N)CCCCCCCCCCCC=CCCCCCCCC	Training	NON-Sensitizer	NON-Sensitizer
242	N.A.	O=S(=O)(c1ccc(O)cc1)c2ccc(O)cc2	Test	NON-Sensitizer	NON-Sensitizer
243	N.A.	C=CCCCCCCC=C	Training	Sensitizer	Sensitizer
244	N.A.	CCC(C)Br	Training	Sensitizer	Sensitizer
245	N.A.	O=C(CC(C)C)CC(C)C	Training	NON-Sensitizer	NON-Sensitizer
246	N.A.	c1ccc(cc1)C(Cl)(Cl)Cl	Training	NON-Sensitizer	NON-Sensitizer
247	N.A.	N#CC(N=NC(C#N)(C)C)(C)C	Training	NON-Sensitizer	NON-Sensitizer
248	N.A.	CC(C)Br	Training	NON-Sensitizer	NON-Sensitizer
249	N.A.	C=CCCCCCCCCCCCCCCCC	Training	NON-Sensitizer	NON-Sensitizer
250	N.A.	O=C(NC)NC	Training	NON-Sensitizer	NON-Sensitizer
251	N.A.	O=C(OC)C(C)CC	Test	NON-Sensitizer	NON-Sensitizer
252	N.A.	OCCOCCCC	Training	NON-Sensitizer	NON-Sensitizer
253	N.A.	C(=C(C)Cl)CCl	Training	Sensitizer	Sensitizer
254	N.A.	n1ncn(N)c1	Training	NON-Sensitizer	NON-Sensitizer
255	N.A.	O=CC=C(C)CCC=C(C)CC	Training	Sensitizer	Sensitizer
256	N.A.	OCCC(C)CCC=C(C)C	Training	Sensitizer	Sensitizer
257	N.A.	NCCCCCCC	Test	Sensitizer	NON-Sensitizer
258	N.A.	OCC1=CCC(C(=C)C)CC1	Training	Sensitizer	Sensitizer
259	N.A.	C=C(C)C1CC=C(C)CC1	Training	Sensitizer	Sensitizer
260	N.A.	C(CCBr)CCl	Training	NON-Sensitizer	NON-Sensitizer
261	N.A.	C=CCCCCCCCCCCC=C	Training	Sensitizer	NON-Sensitizer
262	N.A.	OCCCCCCCCCCCCCCCC(C)C	Training	NON-Sensitizer	NON-Sensitizer
263	N.A.	O=Cc1ccc(cc1)SC	Training	NON-Sensitizer	NON-Sensitizer
264	N.A.	O=C(OCCSCC)C(=C)C	Test	NON-Sensitizer	NON-Sensitizer
265	N.A.	O=C(OC(C)C)CCCCCCCCCCCCCCC	Training	NON-Sensitizer	NON-Sensitizer
266	N.A.	C(=CCCCC)CC	Training	Sensitizer	Sensitizer
267	N.A.	OCC(OC(C)COC(C)COC)C	Training	NON-Sensitizer	NON-Sensitizer
268	N.A.	O=C(OC(C)(C)Cc1ccccc1)C	Training	NON-Sensitizer	NON-Sensitizer
269	N.A.	OCCCCCCCCCCCCCCCCCCCC	Training	NON-Sensitizer	NON-Sensitizer
270	N.A.	O=C(OCCC)C	Training	NON-Sensitizer	NON-Sensitizer
271	N.A.	OCc1ccc(cc1)C	Training	NON-Sensitizer	NON-Sensitizer
272	N.A.	OC(C)(C)CCCC(=C)CC	Training	Sensitizer	NON-Sensitizer
273	N.A.	C=CCBr	Training	Sensitizer	Sensitizer
274	N.A.	O=S1(=O)(CCCC1)	Test	NON-Sensitizer	NON-Sensitizer
275	N.A.	O=C(OC(C)(C)C1C=CC(C)CC1)C	Test	Sensitizer	NON-Sensitizer
276	N.A.	O1CC1CC	Training	NON-Sensitizer	Sensitizer
277	N.A.	O=C(OCC)c1ccccc1(C(=O)OCC)	Training	NON-Sensitizer	NON-Sensitizer
278	N.A.	O=C(N)C(=C)C	Training	NON-Sensitizer	NON-Sensitizer
279	N.A.	O=CC2C1C=CC(C1)C2(CCC)	Training	Sensitizer	NON-Sensitizer
280	N.A.	O=CCC(C)CCCC(C)C	Training	Sensitizer	Sensitizer
281	N.A.	O=CCCCCCCCC	Training	Sensitizer	Sensitizer
282	N.A.	Oc1ccccc1C2CCCCC2	Training	Sensitizer	Sensitizer
283	N.A.	O=C1CCCCC1	Training	NON-Sensitizer	NON-Sensitizer
284	N.A.	O=[N+]([O-])c1ccc(O)cc1C	Training	NON-Sensitizer	NON-Sensitizer
285	N.A.	O=C(OC(C)COC)C	Training	NON-Sensitizer	NON-Sensitizer
286	N.A.	Oc1cc(ccc1C(C)(C)C)C	Training	Sensitizer	Sensitizer
287	N.A.	C=CCCCCCCCCCCCCCC	Test	NON-Sensitizer	NON-Sensitizer
288	N.A.	O=S(=O)(O)c1cc(ccc1(N))C	Training	NON-Sensitizer	NON-Sensitizer
289	N.A.	O=C(N)c1cnccc1	Training	NON-Sensitizer	NON-Sensitizer
290	N.A.	O=P(Oc1ccccc1)(Oc2ccccc2)Oc3ccccc3	Training	NON-Sensitizer	NON-Sensitizer
291	N.A.	OCCCCCCC	Training	NON-Sensitizer	NON-Sensitizer
292	N.A.	C=CC	Training	NON-Sensitizer	NON-Sensitizer
293	N.A.	O=C(N)N	Test	NON-Sensitizer	NON-Sensitizer
294	N.A.	O=C(O)CCSSCCC(=O)O	Training	NON-Sensitizer	NON-Sensitizer
295	N.A.	OC(C)COC(C)COCCCC	Training	NON-Sensitizer	NON-Sensitizer
296	N.A.	O=[N+]([O-])c1ccc(F)c(c1)Cl	Training	NON-Sensitizer	NON-Sensitizer
